"TIME_PERIOD","LASTNAME","GDEKT","RANG_KT","VALUE","OBS_STATUS"
"2021","Müller","AG","1","7587","A"
"2021","Meier","AG","2","6476","A"
"2021","Schmid","AG","3","4185","A"
"2021","Keller","AG","4","3327","A"
"2021","Fischer","AG","5","2765","A"
"2021","Weber","AG","6","2566","A"
"2021","Meyer","AG","7","2554","A"
"2021","Suter","AG","8","2546","A"
"2021","Huber","AG","9","2523","A"
"2021","Widmer","AG","10","2388","A"
"2021","Hunziker","AG","11","2237","A"
"2021","Schneider","AG","12","2076","A"
"2021","Baumann","AG","13","2074","A"
"2021","Frei","AG","14","1993","A"
"2021","Lüscher","AG","15","1867","A"
"2021","Frey","AG","16","1750","A"
"2021","Zimmermann","AG","17","1698","A"
"2021","Steiner","AG","18","1546","A"
"2021","Kaufmann","AG","19","1523","A"
"2021","Brunner","AG","20","1516","A"
"2021","Koch","AG","21","1511","A"
"2021","Roth","AG","22","1442","A"
"2021","Gloor","AG","23","1394","A"
"2021","Krasniqi","AG","24","1283","A"
"2021","Bolliger","AG","25","1273","A"
"2021","Moser","AG","26","1268","A"
"2021","Gashi","AG","27","1261","A"
"2021","Graf","AG","28","1159","A"
"2021","Bachmann","AG","29","1141","A"
"2021","Senn","AG","30","1135","A"
"2021","Berisha","AG","31","1112","A"
"2021","Wyss","AG","32","1101","A"
"2021","Maurer","AG","33","1093","A"
"2021","Baumgartner","AG","34","1054","A"
"2021","Hofer","AG","35","1051","A"
"2021","Siegrist","AG","36","1042","A"
"2021","Strebel","AG","37","1027","A"
"2021","Haller","AG","38","1021","A"
"2021","Eichenberger","AG","39","1017","A"
"2021","Wernli","AG","40","1001","A"
"2021","Stutz","AG","41","1000","A"
"2021","Schärer","AG","42","919","A"
"2021","Lüthi","AG","43","917","A"
"2021","Gerber","AG","44","911","A"
"2021","Koller","AG","45","890","A"
"2021","Christen","AG","46","882","A"
"2021","Bühler","AG","47","872","A"
"2021","Bucher","AG","48","869","A"
"2021","Studer","AG","49","857","A"
"2021","Seiler","AG","50","855","A"
"2021","Küng","AG","51","832","A"
"2021","Kunz","AG","52","823","A"
"2021","Villiger","AG","53","806","A"
"2021","Herzog","AG","54","800","A"
"2021","Schär","AG","55","788","A"
"2021","Zehnder","AG","55","788","A"
"2021","Hasler","AG","57","775","A"
"2021","Hofmann","AG","58","771","A"
"2021","Lehmann","AG","58","771","A"
"2021","Kuhn","AG","60","753","A"
"2021","Peter","AG","61","751","A"
"2021","Shala","AG","62","750","A"
"2021","Berger","AG","63","746","A"
"2021","Vogt","AG","64","745","A"
"2021","Knecht","AG","65","735","A"
"2021","Stocker","AG","66","731","A"
"2021","Kohler","AG","67","726","A"
"2021","Hauri","AG","68","725","A"
"2021","Stöckli","AG","69","724","A"
"2021","Hartmann","AG","70","718","A"
"2021","Lang","AG","71","709","A"
"2021","Vogel","AG","72","705","A"
"2021","Schweizer","AG","73","694","A"
"2021","Weiss","AG","74","691","A"
"2021","Wiederkehr","AG","75","673","A"
"2021","Rohr","AG","76","664","A"
"2021","Urech","AG","77","658","A"
"2021","Marti","AG","78","657","A"
"2021","Stalder","AG","79","651","A"
"2021","Schaffner","AG","80","648","A"
"2021","Plüss","AG","81","647","A"
"2021","Richner","AG","82","644","A"
"2021","Merz","AG","83","631","A"
"2021","Morina","AG","84","628","A"
"2021","Fuchs","AG","85","625","A"
"2021","Wüthrich","AG","86","622","A"
"2021","Käser","AG","87","619","A"
"2021","Häfeli","AG","88","616","A"
"2021","Wehrli","AG","89","609","A"
"2021","Gautschi","AG","90","607","A"
"2021","da Silva","AG","91","598","A"
"2021","Hediger","AG","92","595","A"
"2021","Ramadani","AG","93","594","A"
"2021","Ammann","AG","94","586","A"
"2021","Leuenberger","AG","95","582","A"
"2021","Zimmerli","AG","96","578","A"
"2021","Sutter","AG","97","577","A"
"2021","Hochuli","AG","98","571","A"
"2021","Pfister","AG","99","569","A"
"2021","Rey","AG","100","568","A"
"2021","Sommer","AG","101","567","A"
"2021","Burger","AG","102","565","A"
"2021","Ernst","AG","103","562","A"
"2021","Hug","AG","104","560","A"
"2021","Obrist","AG","105","558","A"
"2021","Amsler","AG","106","556","A"
"2021","Zürcher","AG","107","551","A"
"2021","Michel","AG","108","548","A"
"2021","Kalt","AG","109","539","A"
"2021","Schwarz","AG","110","535","A"
"2021","Bertschi","AG","111","529","A"
"2021","Bieri","AG","112","525","A"
"2021","Egloff","AG","113","524","A"
"2021","Hess","AG","114","523","A"
"2021","Hauser","AG","115","520","A"
"2021","Häfliger","AG","115","520","A"
"2021","Bajrami","AG","117","518","A"
"2021","Erne","AG","117","518","A"
"2021","Rohner","AG","117","518","A"
"2021","Furrer","AG","120","511","A"
"2021","Hochstrasser","AG","120","511","A"
"2021","Arnold","AG","122","510","A"
"2021","Fehlmann","AG","122","510","A"
"2021","Hirt","AG","124","499","A"
"2021","Gasser","AG","125","498","A"
"2021","Schmidt","AG","126","491","A"
"2021","Häusermann","AG","127","489","A"
"2021","Tanner","AG","128","475","A"
"2021","Bürgi","AG","129","474","A"
"2021","Graber","AG","129","474","A"
"2021","Egli","AG","131","473","A"
"2021","Wagner","AG","132","472","A"
"2021","Keusch","AG","133","471","A"
"2021","Flückiger","AG","134","465","A"
"2021","Lehner","AG","134","465","A"
"2021","Scherer","AG","136","464","A"
"2021","Bühlmann","AG","137","462","A"
"2021","Näf","AG","138","459","A"
"2021","Peterhans","AG","139","455","A"
"2021","Benz","AG","140","452","A"
"2021","Wenger","AG","140","452","A"
"2021","Sommerhalder","AG","142","445","A"
"2021","Ott","AG","143","444","A"
"2021","Zumsteg","AG","144","441","A"
"2021","Schumacher","AG","145","433","A"
"2021","Märki","AG","146","430","A"
"2021","Siegenthaler","AG","146","430","A"
"2021","Matter","AG","148","428","A"
"2021","Berner","AG","149","423","A"
"2021","Schenk","AG","149","423","A"
"2021","Steinmann","AG","151","422","A"
"2021","Huwiler","AG","152","421","A"
"2021","Vögeli","AG","152","421","A"
"2021","Wullschleger","AG","152","421","A"
"2021","Weibel","AG","155","414","A"
"2021","Pereira","AG","156","413","A"
"2021","Schlatter","AG","157","407","A"
"2021","Schraner","AG","157","407","A"
"2021","Wettstein","AG","159","406","A"
"2021","Wildi","AG","160","405","A"
"2021","Waldmeier","AG","161","403","A"
"2021","Notter","AG","162","402","A"
"2021","Saxer","AG","162","402","A"
"2021","Ferreira","AG","164","401","A"
"2021","Oeschger","AG","164","401","A"
"2021","Beck","AG","166","400","A"
"2021","Erni","AG","167","399","A"
"2021","Kyburz","AG","168","396","A"
"2021","Hilfiker","AG","169","395","A"
"2021","Ackermann","AG","170","393","A"
"2021","Hitz","AG","170","393","A"
"2021","Zaugg","AG","170","393","A"
"2021","Kaiser","AG","173","392","A"
"2021","Baur","AG","174","390","A"
"2021","Giger","AG","174","390","A"
"2021","Egger","AG","176","385","A"
"2021","Steffen","AG","176","385","A"
"2021","Scheidegger","AG","178","381","A"
"2021","Geissmann","AG","179","380","A"
"2021","Lanz","AG","179","380","A"
"2021","Haas","AG","181","379","A"
"2021","Winter","AG","182","378","A"
"2021","Basler","AG","183","377","A"
"2021","Rüegger","AG","184","375","A"
"2021","Stierli","AG","185","374","A"
"2021","Hächler","AG","186","373","A"
"2021","Käppeli","AG","186","373","A"
"2021","Martin","AG","186","373","A"
"2021","Binder","AG","189","372","A"
"2021","Lüthy","AG","189","372","A"
"2021","Holliger","AG","191","371","A"
"2021","Dietiker","AG","192","370","A"
"2021","Blaser","AG","193","369","A"
"2021","Gehrig","AG","193","369","A"
"2021","Schütz","AG","195","367","A"
"2021","Probst","AG","196","366","A"
"2021","Jost","AG","197","365","A"
"2021","Wirz","AG","197","365","A"
"2021","Bächli","AG","199","362","A"
"2021","Lienhard","AG","199","362","A"
"2021","Imhof","AG","201","359","A"
"2021","Rüegg","AG","201","359","A"
"2021","Stadelmann","AG","203","358","A"
"2021","Schenker","AG","204","357","A"
"2021","Kastrati","AG","205","356","A"
"2021","Bütler","AG","206","354","A"
"2021","Dätwyler","AG","206","354","A"
"2021","Kryeziu","AG","208","353","A"
"2021","Laube","AG","208","353","A"
"2021","Steiger","AG","208","353","A"
"2021","Wunderlin","AG","211","349","A"
"2021","Huser","AG","212","348","A"
"2021","Fankhauser","AG","213","347","A"
"2021","Voser","AG","213","347","A"
"2021","Mathys","AG","215","346","A"
"2021","Moor","AG","216","345","A"
"2021","Portmann","AG","216","345","A"
"2021","Mathis","AG","218","344","A"
"2021","Schibli","AG","218","344","A"
"2021","Fricker","AG","220","341","A"
"2021","Bär","AG","221","339","A"
"2021","Kramer","AG","221","339","A"
"2021","Locher","AG","223","337","A"
"2021","Mäder","AG","224","334","A"
"2021","Kern","AG","225","332","A"
