price,Empfohlenes Alter in Jahren (mind.),Anzahl Teile,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Ursprungsland_ Ungarn ,Ursprungsland_ China ,Ursprungsland_ Tschechische Republik ,LegoCategory_Rare,LegoCategory_LEGO City ,LegoCategory_LEGO Duplo ,LegoCategory_LEGO Star Wars ,LegoCategory_LEGO Super Mario ,LegoCategory_LEGO Friends 
179.0,18.0,2660.0,378.0,480.0,112.0,1,0,0,1,0,0,0,0,0
119.0,18.0,811.0,378.0,354.0,70.5,0,1,0,1,0,0,0,0,0
159.0,10.0,914.0,262.0,382.0,118.0,0,1,0,1,0,0,0,0,0
59.95,9.0,806.0,262.0,382.0,70.5,1,0,0,1,0,0,0,0,0
169.0,7.0,764.0,378.0,582.0,103.0,0,1,0,0,1,0,0,0,0
54.95,1.5,85.0,262.0,370.0,180.0,0,0,1,0,0,1,0,0,0
159.0,9.0,1082.0,378.0,480.0,70.5,0,0,1,0,0,0,1,0,0
46.95,8.0,253.0,191.0,262.0,46.0,0,0,1,0,0,0,1,0,0
39.95,7.0,307.0,222.0,262.0,76.0,0,0,1,1,0,0,0,0,0
59.95,10.0,830.0,262.0,382.0,70.5,1,0,0,1,0,0,0,0,0
179.0,18.0,1458.0,282.0,480.0,118.0,1,0,0,1,0,0,0,0,0
119.0,7.0,913.0,378.0,480.0,94.0,1,0,0,0,1,0,0,0,0
89.95,9.0,601.0,262.0,382.0,70.5,0,0,1,0,0,0,1,0,0
269.0,18.0,2336.0,378.0,582.0,118.0,0,0,1,1,0,0,0,0,0
36.95,7.0,348.0,262.0,317.0,70.5,0,0,1,0,1,0,0,0,0
4.95,5.0,10.0,106.0,94.0,24.0,0,0,1,1,0,0,0,0,0
209.0,18.0,1684.0,378.0,480.0,112.0,1,0,0,1,0,0,0,0,0
24.95,6.0,140.0,191.0,205.0,46.0,0,1,0,1,0,0,0,0,0
59.95,9.0,905.0,262.0,382.0,70.5,1,0,0,1,0,0,0,0,0
36.95,6.0,279.0,191.0,354.0,59.0,0,0,1,1,0,0,0,0,0
589.0,18.0,6167.0,480.0,523.0,218.0,0,0,1,1,0,0,0,0,0
39.95,8.0,403.0,262.0,191.0,72.0,0,0,1,1,0,0,0,0,0
26.95,6.0,108.0,141.0,191.0,46.0,0,0,1,0,0,0,1,0,0
199.0,6.0,1226.0,480.0,582.0,124.0,0,0,1,0,1,0,0,0,0
32.95,9.0,280.0,141.0,262.0,72.0,0,0,1,1,0,0,0,0,0
529.0,16.0,6020.0,490.0,595.0,190.0,0,0,1,1,0,0,0,0,0
119.0,9.0,1056.0,282.0,540.0,59.0,1,0,0,0,0,0,1,0,0
36.95,1.5,65.0,180.0,370.0,180.0,0,0,1,0,0,1,0,0,0
