price,Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (max.),Anzahl Teile,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Paketgewicht
179.0,18.0,99.0,2660.0,378.0,480.0,112.0,3040.0
119.0,18.0,99.0,811.0,378.0,354.0,70.5,1130.0
159.0,10.0,99.0,914.0,262.0,382.0,118.0,1860.0
59.95,9.0,99.0,806.0,262.0,382.0,70.5,1030.0
169.0,7.0,99.0,764.0,378.0,582.0,103.0,2250.0
54.95,1.5,99.0,85.0,262.0,370.0,180.0,1430.0
159.0,9.0,99.0,1082.0,378.0,480.0,70.5,1520.0
46.95,8.0,99.0,253.0,191.0,262.0,46.0,318.0
39.95,7.0,99.0,307.0,222.0,262.0,76.0,515.0
59.95,10.0,99.0,830.0,262.0,382.0,70.5,980.0
179.0,18.0,99.0,1458.0,282.0,480.0,118.0,1990.0
119.0,7.0,99.0,913.0,378.0,480.0,94.0,1810.0
89.95,9.0,99.0,601.0,262.0,382.0,70.5,877.0
269.0,18.0,99.0,2336.0,378.0,582.0,118.0,2860.0
36.95,7.0,99.0,348.0,262.0,317.0,70.5,600.0
4.95,5.0,99.0,10.0,106.0,94.0,24.0,150.0
209.0,18.0,99.0,1684.0,378.0,480.0,112.0,2330.0
24.95,6.0,99.0,140.0,191.0,205.0,46.0,222.0
59.95,9.0,99.0,905.0,262.0,382.0,70.5,882.0
36.95,6.0,99.0,279.0,191.0,354.0,59.0,475.0
589.0,18.0,99.0,6167.0,480.0,523.0,218.0,6890.0
39.95,8.0,99.0,403.0,262.0,191.0,72.0,436.0
26.95,6.0,99.0,108.0,141.0,191.0,46.0,131.0
199.0,6.0,12.0,1226.0,480.0,582.0,124.0,301.0
32.95,9.0,99.0,280.0,141.0,262.0,72.0,319.0
529.0,16.0,99.0,6020.0,490.0,595.0,190.0,7510.0
119.0,9.0,99.0,1056.0,282.0,540.0,59.0,1400.0
36.95,1.5,99.0,65.0,180.0,370.0,180.0,1050.0
239.0,18.0,99.0,1478.0,378.0,582.0,87.0,2130.0
54.95,8.0,99.0,384.0,262.0,282.0,59.0,526.0
119.0,9.0,99.0,874.0,282.0,540.0,78.5,1860.0
59.95,10.0,99.0,630.0,354.0,191.0,70.0,565.0
109.0,10.0,99.0,1073.0,382.0,262.0,118.0,1270.0
59.95,9.0,99.0,474.0,262.0,382.0,70.5,710.0
84.95,10.0,99.0,646.0,262.0,382.0,70.5,880.0
179.0,18.0,99.0,1456.0,282.0,480.0,118.0,1830.0
74.95,18.0,99.0,939.0,382.0,262.0,56.5,615.0
209.0,18.0,99.0,1434.0,378.0,582.0,87.0,2270.0
119.0,18.0,99.0,1363.0,282.0,480.0,91.0,1620.0
109.0,10.0,99.0,1132.0,262.0,382.0,118.0,1480.0
219.0,18.0,99.0,2319.0,582.0,378.0,103.0,2420.0
119.0,14.0,99.0,1062.0,378.0,354.0,70.5,1160.0
36.95,2.0,99.0,21.0,262.0,282.0,95.5,593.0
24.95,7.0,99.0,137.0,141.0,262.0,61.0,257.0
24.95,7.0,99.0,237.0,191.0,262.0,46.0,304.0
119.0,10.0,99.0,1360.0,282.0,480.0,118.0,1740.0
269.0,18.0,99.0,2352.0,378.0,582.0,118.0,3270.0
269.0,18.0,99.0,1920.0,378.0,582.0,103.0,2780.0
119.0,18.0,99.0,1107.0,282.0,480.0,91.0,1440.0
139.0,10.0,99.0,835.0,378.0,354.0,94.0,1400.0
489.0,8.0,99.0,3696.0,191.0,354.0,70.0,6120.0
169.0,18.0,99.0,2125.0,378.0,480.0,112.0,2450.0
119.0,8.0,99.0,1394.0,378.0,480.0,94.0,1920.0
24.95,6.0,99.0,223.0,141.0,262.0,72.0,311.0
24.95,2.0,99.0,20.0,262.0,282.0,95.5,604.0
99.0,18.0,99.0,834.0,354.0,191.0,118.0,1010.0
32.95,9.0,99.0,261.0,141.0,262.0,72.0,323.0
54.95,7.0,99.0,434.0,222.0,262.0,76.0,575.0
42.95,6.0,99.0,275.0,262.0,282.0,59.0,460.0
32.95,8.0,99.0,262.0,141.0,262.0,72.0,305.0
32.95,8.0,99.0,291.0,141.0,262.0,72.0,320.0
