label,sentence,purpose,word
0,A simple black spider is a fast face painting design that can make a big impact come Halloween.,train,impact
0,Such fossils are usually fragmentary and contain no soft tissue.,validate,fossil
0,"A recently discovered fossil group, the Pteridospermae have characters intermediate between the Ptendophyta and the more primitive seedplants.",train,fossil
0,The Moral Balance model proposes that most humans operate out of a limited or flexible morality.,train,flexible
1,That fossil down the street?,train,fossil
0,"The official Web sites for hip designers like Tommy Hilfiger, Fossil, Diesel, Ralph Lauren or Calvin Klein will always have the absolute latest cool belts on offer.",train,fossil
1,A freelance writer must be flexible and open to different options.,validate,flexible
1,"Regularly using a water bottle, along with other water saving devices can make a large impact on your family's annual water consumption.",validate,impact
0,A corrected clubfoot is often a shoe size smaller than normal and may be somewhat less flexible.,validate,flexible
0,"The coursework offered by Auburn University is not as comprehensive as other programs, but is certainly flexible if you can find the time and money.",test,flexible
0,"In the meantime, residents will start to see a definite impact on their utility bills.",train,impact
0,Fossil remains of members of this family have also been found in Europe in strata of the Oligocene period.,test,fossil
1,When did Bill become such a fossil?,validate,fossil
1,"Likewise, stores such as TJ Maxx, Ross and other discount clothing outlets often have Ralph Lauren clothing on sale, although you may have to be a bit more flexible about the color.",train,flexible
1,"I may be an old fossil, but I have difficulty with the concept of an oath of allegiance to anything but the Crown in our system.",tran,fossil
0,An environmentally friendly water heating option will help to provide an efficient water heating system while helping to reduce the negative impact on the environment.,train,impact
1,"Likewise, you may find you need to be more open and flexible about what constitutes sex.",test,flexible
1,I was 100% fossil.,test,fossil
0,"Thus he reached the New Siberian or Liakhov Islands, and for years afterwards the seekers for fossil ivory resorted to them.",train,fossil
1,I'm a bit of an old fossil but you're certainly not getting any younger either.,validate,fossil
0,Discovery of fossils on the Giza Plateau,train,fossil
0,Consider matching polycarbonate lenses with your flexible frames.,test,flexible
1,"Giving some guidelines for the style, such as asking each attendant to wear matching hair pins, is fine, but being flexible will keep attendants smiling.",train,flexible
0,"With drag-and-drop simplicity, photos can be moved and resized within these flexible layouts.",test,flexible
0,"Use crosses the line to abuse when it begins to affect everyday life, cause social problems, and/or impact a teen's physical well being.",train,impact
0,It consists of two vertical tubes provided with feet and connected at the bottom by flexible rubber tubing.,validate,flexible
